ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
894,CHARMM36m,SDPC (1),303.15,46.0,0.101,0.7986,0.7986,
900,CHARMM36m,SDPC (1),303.15,48.0,0.0984,0.7939,0.7939,
899,CHARMM36m,SDPC (1),303.15,48.0,0.1003,0.7913,0.7912,
901,CHARMM36m,SDPC (1),303.15,46.0,0.0886,0.7898,0.7897,
