ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
904,CHARMM36m,SD5PC (1),303.15,48.0,,0.5678,0.5678,
905,CHARMM36m,SD5PC (1),303.15,48.0,,0.5645,0.5645,
